id,object_id,day,date_time,temperature,dewpoint,relative_humidity,precipitation,snow,wind_direction,wind_speed,wind_gust,air_pressure,sunshine,weather_code,fire
0,22,1,2022-12-11 17:00:00,12.8,3.2,52.0,0.0,,0.0,0.0,,1016.5,,1.0,1
1,22,2,2022-12-12 17:00:00,8.3,4.3,76.0,0.0,,130.0,16.6,,1010.6,,3.0,1
2,22,3,2022-12-13 17:00:00,8.3,4.3,76.0,0.0,,208.0,9.4,,1015.5,,2.0,1
3,22,4,2022-12-14 17:00:00,6.7,1.2,68.0,0.0,,30.0,14.8,,1021.2,,2.0,1
4,22,5,2022-12-15 17:00:00,6.7,0.6,65.0,0.0,,0.0,0.0,,1021.1,,1.0,1
5,22,6,2022-12-16 17:00:00,9.4,-2.2,44.0,0.0,,30.0,16.6,,1021.0,,3.0,1
6,22,7,2022-12-17 17:00:00,8.3,-8.7,29.0,0.0,,30.0,11.2,,1019.8,,1.0,1
7,22,1,2021-12-11 17:00:00,11.2,-0.3,45.0,0.0,,20.0,16.6,,1024.0,,,0
8,22,2,2021-12-12 17:00:00,16.0,0.1,34.0,0.0,,30.0,20.5,,1018.0,,,0
9,22,3,2021-12-13 17:00:00,14.4,2.3,44.0,0.0,,40.0,9.4,,1019.1,,,0
10,22,4,2021-12-14 17:00:00,16.1,8.3,60.0,0.0,,150.0,5.4,,1016.1,,,0
11,22,5,2021-12-15 17:00:00,10.0,0.1,50.0,0.0,,0.0,0.0,,1021.0,,,0
12,22,6,2021-12-16 17:00:00,8.9,0.1,54.0,0.0,,50.0,13.0,,1019.0,,,0
13,22,7,2021-12-17 17:00:00,9.4,2.3,61.0,0.0,,150.0,5.4,,1017.6,,,0
14,23,1,2022-07-27 22:00:00,32.6,21.8,53.0,1.9,,180.0,37.1,,1014.0,,9.0,1
15,23,2,2022-07-28 22:00:00,37.7,18.1,32.0,1.0,,180.0,7.6,,1013.0,,9.0,1
16,23,3,2022-07-29 22:00:00,35.9,19.7,39.0,0.0,,150.0,22.3,,1015.0,,3.0,1
17,23,4,2022-07-30 22:00:00,37.9,17.8,31.0,0.0,,160.0,13.0,,1016.0,,3.0,1
18,23,5,2022-07-31 22:00:00,37.7,14.9,26.0,0.0,,170.0,18.4,,1017.0,,1.0,1
19,23,6,2022-08-01 22:00:00,37.3,17.8,32.0,0.0,,150.0,14.8,,1015.0,,2.0,1
20,23,7,2022-08-02 22:00:00,38.0,16.3,28.0,0.0,,200.0,24.1,,1013.0,,2.0,1
21,23,1,2021-07-27 22:00:00,34.2,21.6,48.0,0.0,,330.0,5.4,,1015.0,,,0
22,23,2,2021-07-28 22:00:00,34.0,22.4,51.0,0.0,,160.0,9.4,,1015.0,,,0
23,23,3,2021-07-29 22:00:00,26.6,22.9,80.0,5.8,,280.0,11.2,,1016.0,,,0
24,23,4,2021-07-30 22:00:00,33.4,23.4,56.0,0.0,,80.0,5.4,,1017.0,,,0
25,23,5,2021-07-31 22:00:00,34.4,23.1,52.0,0.0,,160.0,13.0,,1016.0,,,0
26,23,6,2021-08-01 22:00:00,34.9,21.9,47.0,0.0,,170.0,13.0,,1014.0,,,0
27,23,7,2021-08-02 22:00:00,29.0,23.2,71.0,0.1,,250.0,9.4,,1015.0,,,0
28,27,1,2022-01-11 21:00:00,16.1,-6.9,20.0,0.0,,220.0,37.1,,1023.1,,,1
29,27,2,2022-01-12 21:00:00,15.6,-11.8,14.0,0.0,,360.0,13.0,,1021.8,,,1
30,27,3,2022-01-13 21:00:00,20.0,-12.5,10.0,0.0,,0.0,0.0,,1018.7,,,1
31,27,4,2022-01-14 21:00:00,15.0,-4.4,26.0,0.0,,350.0,59.4,,1007.9,,5.0,1
32,27,5,2022-01-15 21:00:00,5.0,-11.1,30.0,0.0,,350.0,42.5,,1025.5,,,1
