id,date_time,temperature_1,dewpoint_1,relative_humidity_1,precipitation_1,snow_1,wind_direction_1,wind_speed_1,wind_gust_1,air_pressure_1,temperature_2,dewpoint_2,relative_humidity_2,precipitation_2,snow_2,wind_direction_2,wind_speed_2,wind_gust_2,air_pressure_2,temperature_3,dewpoint_3,relative_humidity_3,precipitation_3,snow_3,wind_direction_3,wind_speed_3,wind_gust_3,air_pressure_3,temperature_4,dewpoint_4,relative_humidity_4,precipitation_4,snow_4,wind_direction_4,wind_speed_4,wind_gust_4,air_pressure_4,temperature_5,dewpoint_5,relative_humidity_5,precipitation_5,snow_5,wind_direction_5,wind_speed_5,wind_gust_5,air_pressure_5,temperature_6,dewpoint_6,relative_humidity_6,precipitation_6,snow_6,wind_direction_6,wind_speed_6,wind_gust_6,air_pressure_6,temperature_7,dewpoint_7,relative_humidity_7,precipitation_7,snow_7,wind_direction_7,wind_speed_7,wind_gust_7,air_pressure_7,has_fire
14,2020-05-12 03:00:00,16.7,-1.9,28.0,0.0,,110.0,5.4,,1017.5,14.2,-8.4,20.0,0.0,,350.0,33.5,,1018.8,14.5,-11.0,16.0,0.0,,0.0,0.0,,1022.0,17.7,-8.4,16.0,0.0,,0.0,0.0,,1016.0,17.2,-2.5,26.0,0.0,,140.0,9.4,,1014.9,21.3,2.0,28.0,0.0,,160.0,5.4,,1006.7,21.3,-0.1,24.0,0.0,,0.0,0.0,,999.5,0.0
270,2021-11-13 11:00:00,7.0,4.3,83.0,0.0,,300.0,5.4,,1018.0,3.8,3.7,99.0,0.0,,280.0,7.6,,1022.0,4.6,4.2,97.0,0.0,,0.0,0.0,,1019.0,4.2,4.2,100.0,0.1,,230.0,9.4,,1023.0,4.7,1.5,80.0,0.0,,230.0,7.6,,1028.0,7.3,4.9,85.0,0.0,,210.0,5.4,,1031.0,7.6,5.1,84.0,0.0,,180.0,14.8,,1026.0,0.0
322,2024-08-17 19:00:00,28.9,10.1,31.0,0.0,,358.0,5.4,,1014.5,25.0,16.7,60.0,0.0,,0.0,0.0,,1013.0,26.1,14.9,50.0,0.0,,116.0,5.4,,1011.4,22.2,15.1,64.0,0.0,,310.0,11.2,,1015.6,28.3,12.6,38.0,0.0,,240.0,7.6,,1012.7,28.3,10.0,32.0,0.0,,268.0,5.4,,1013.8,30.0,10.5,30.0,0.0,,230.0,9.4,,1011.7,0.0
127,2023-10-21 20:00:00,16.1,3.8,44.0,0.0,,260.0,9.4,,1025.7,16.7,7.3,54.0,0.0,,280.0,7.6,,1021.7,18.9,3.5,36.0,0.0,,320.0,9.4,,1017.8,18.3,3.7,38.0,0.0,,293.0,7.6,,1022.7,19.4,4.3,37.0,0.0,,0.0,0.0,,1023.4,18.3,6.8,47.0,0.0,,290.0,9.4,,1018.4,18.3,6.8,47.0,0.0,,290.0,7.6,,1011.8,0.0
50,2020-12-26 21:00:00,5.0,-5.1,48.0,0.0,,150.0,14.8,,1026.8,10.0,0.1,50.0,0.0,,300.0,9.4,,1019.6,1.7,-6.1,56.0,,,320.0,31.7,,1014.3,0.0,-10.0,47.0,0.0,,320.0,11.2,,1034.8,1.1,-11.6,38.0,0.0,,0.0,0.0,,1035.7,1.1,-7.7,52.0,0.0,,300.0,11.2,,1025.9,0.0,-5.0,69.0,0.0,,320.0,18.4,,1018.4,0.0
598,2022-04-26 22:00:00,18.3,-2.1,25.0,0.0,,70.0,9.4,,1010.2,22.2,0.1,23.0,0.0,,220.0,33.5,,1001.9,7.8,2.9,71.0,1.8,,340.0,24.1,,1003.7,8.9,-1.5,48.0,0.1,,317.0,15.8,,1018.1,10.2,-1.2,45.0,0.0,,315.0,14.4,,1021.7,13.7,-1.1,36.0,0.0,,306.0,7.2,,1020.4,18.5,3.1,36.0,0.0,,25.0,12.2,,1010.4,0.0
327,2024-06-21 16:00:00,25.3,0.0,19.0,0.0,,226.0,12.2,,1010.5,22.4,1.9,26.0,0.0,,247.0,10.1,,1007.7,23.6,-2.1,18.0,0.0,,216.0,17.6,,1000.7,11.6,-5.8,29.0,0.0,,349.0,6.8,,1015.8,19.5,-4.7,19.0,0.0,,328.0,6.8,,1012.7,24.0,-0.4,20.0,0.0,,318.0,5.0,,1012.9,24.1,12.1,47.0,0.0,,170.0,7.9,,1012.5,1.0
571,2025-08-23 05:00:00,23.0,5.9,33.0,0.0,,180.0,22.3,20.0,1017.0,23.0,-1.2,20.0,0.0,,150.0,9.4,,1016.0,20.0,-3.6,20.0,0.0,,170.0,14.8,,1019.0,23.0,-1.2,20.0,0.0,,170.0,14.8,,1019.0,24.0,11.0,44.0,0.0,,190.0,11.2,,1019.0,25.0,8.9,36.0,0.0,,170.0,9.4,,1019.0,25.0,8.0,34.0,0.0,,190.0,16.6,,1020.0,1.0
520,2025-07-04 19:00:00,30.0,5.3,21.0,0.0,,10.0,14.8,14.0,1019.0,30.0,5.9,22.0,0.0,,350.0,14.8,,1020.0,31.0,6.8,22.0,0.0,,360.0,16.6,,1019.0,35.0,3.5,14.0,0.0,,340.0,11.2,18.0,1017.0,32.0,4.7,18.0,0.0,,50.0,16.6,14.0,1015.0,30.0,8.9,27.0,0.0,,40.0,16.6,17.0,1014.0,27.0,11.1,37.0,0.0,,10.0,13.0,14.0,1017.0,1.0
334,2024-08-08 22:00:00,37.0,0.3,10.0,0.0,,10.0,14.8,,1023.0,36.0,7.9,18.0,0.0,,10.0,22.3,,1017.0,35.0,8.7,20.0,0.0,,30.0,9.4,,1017.0,35.0,7.9,19.0,0.0,,70.0,7.6,,1019.0,37.0,5.1,14.0,0.0,,10.0,16.6,,1018.0,35.0,0.1,11.0,0.0,,10.0,24.1,,1018.0,34.0,1.7,13.0,0.0,,10.0,16.6,,1017.0,1.0
