lat,lon,target_date,fire,temp_d1,humidity_d1,precip_d1,temp_d2,humidity_d2,precip_d2,temp_d3,humidity_d3,precip_d3,temp_d4,humidity_d4,precip_d4,temp_d5,humidity_d5,precip_d5,temp_d6,humidity_d6,precip_d6,temp_d7,humidity_d7,precip_d7
41.39848,-111.8624,2020-06-27,1,16.1,60.0,0.0,18.0,52.0,0.0,17.8,52.0,0.0,16.3,63.0,0.0,15.3,59.0,0.0,15.9,54.0,0.0,11.9,54.0,0.0
41.39848,-111.8624,2019-06-28,0,18.2,34.0,0.1,16.9,43.0,0.0,14.4,48.0,0.0,14.3,41.0,0.1,10.0,48.0,0.0,7.5,46.0,0.6,7.5,41.0,0.0
40.45193,-111.8702,2020-06-28,1,23.6,23.0,0.0,21.8,39.0,0.0,23.9,25.0,0.0,24.2,21.0,0.0,21.4,28.0,0.0,20.8,34.0,0.0,21.7,23.0,0.0
40.45193,-111.8702,2019-06-29,0,22.1,18.0,0.0,22.0,20.0,0.0,21.6,19.0,0.0,20.1,27.0,0.0,18.4,26.0,0.0,13.1,35.0,0.0,10.9,34.0,0.0
40.54135,-111.4094,2022-08-12,1,22.7,55.0,0.9,23.3,38.0,0.4,22.0,33.0,0.0,20.4,48.0,0.0,19.4,66.0,0.1,20.6,66.0,0.6,21.5,56.0,0.9
40.54135,-111.4094,2021-08-12,0,20.8,31.0,0.0,21.2,36.0,0.0,21.7,27.0,0.0,20.7,39.0,0.0,19.3,37.0,0.0,23.1,30.0,0.1,23.1,38.0,0.0
40.478317,-109.454367,2022-09-27,1,17.2,45.0,0.0,15.5,48.0,0.0,14.2,55.0,0.0,14.2,52.0,0.0,16.6,72.0,5.2,17.9,60.0,0.0,18.9,46.0,0.0
40.478317,-109.454367,2021-09-27,0,18.9,28.0,0.0,18.0,33.0,0.0,18.3,29.0,0.0,16.3,35.0,0.0,13.7,41.0,0.0,12.4,36.0,0.0,13.5,45.0,1.0
39.34934,-112.266,2020-03-06,1,7.8,45.0,0.0,2.3,62.0,0.0,0.7,50.0,0.0,-1.3,78.0,1.1,3.5,56.0,0.7,4.6,39.0,0.3,5.6,32.0,0.0
39.34934,-112.266,2019-03-07,0,3.0,82.0,19.4,0.2,71.0,0.5,-1.2,89.0,1.3,-0.3,97.0,10.7,1.8,84.0,7.2,1.6,87.0,5.1,2.3,69.0,0.1
40.275861,-109.895639,2020-06-16,1,21.6,20.0,0.0,22.1,14.0,0.0,25.4,16.0,0.0,21.1,33.0,0.0,17.3,43.0,0.0,13.6,46.0,0.0,9.9,48.0,0.0
40.275861,-109.895639,2019-06-17,0,22.6,25.0,0.0,20.6,33.0,0.0,20.6,46.0,2.2,22.5,29.0,0.0,21.2,30.0,0.0,20.1,16.0,0.0,16.4,22.0,0.0
40.58549,-111.4433,2022-05-22,1,3.7,57.0,0.6,5.2,44.0,2.0,12.5,59.0,0.5,11.5,68.0,0.0,12.2,69.0,0.0,13.3,61.0,0.0,11.6,61.0,0.0
40.58549,-111.4433,2021-05-22,0,10.5,60.0,3.9,14.3,39.0,0.0,13.6,50.0,0.3,11.9,61.0,0.1,10.2,71.0,0.3,11.6,65.0,2.1,13.1,61.0,0.0
40.16511,-111.9436,2022-07-05,1,27.9,14.0,0.0,28.2,21.0,0.0,27.6,31.0,0.0,24.7,45.0,0.0,25.5,43.0,1.1,26.3,38.0,1.9,28.1,23.0,0.0
