station_identifier,name,latitude,longitude,elevation_m,timezone,url,forecast_url,fireweather_zone_url
0007W,Montford Middle,30.53099,-84.1787,49.0728,America/New_York,https://api.weather.gov/stations/0007W,https://api.weather.gov/zones/forecast/FLZ017,https://api.weather.gov/zones/fire/FLZ017
000PG,Southside Road,36.78921,-121.33943,129.2352,America/Los_Angeles,https://api.weather.gov/stations/000PG,https://api.weather.gov/zones/forecast/CAZ528,https://api.weather.gov/zones/fire/CAZ528
000SE,SCE South Hills Park,34.11814,-117.8552,242.9256,America/Los_Angeles,https://api.weather.gov/stations/000SE,https://api.weather.gov/zones/forecast/CAZ548,https://api.weather.gov/zones/fire/CAZ548
001AS,Poloa_Wx,-14.319,-170.83,142.9512,Pacific/Pago_Pago,https://api.weather.gov/stations/001AS,https://api.weather.gov/zones/forecast/ASZ001,https://api.weather.gov/zones/fire/ASZ001
001BH,Tilford,44.28004,-103.44237,1207.3128,America/Denver,https://api.weather.gov/stations/001BH,https://api.weather.gov/zones/forecast/SDZ072,https://api.weather.gov/zones/fire/SDZ320
001CE,83 Crosby,29.9032,-95.06369,14.0208,America/Chicago,https://api.weather.gov/stations/001CE,https://api.weather.gov/zones/forecast/TXZ213,https://api.weather.gov/zones/fire/TXZ213
001HE,MECO Kealaloloa Ridge,20.80393,-156.54018,571.1952,Pacific/Honolulu,https://api.weather.gov/stations/001HE,https://api.weather.gov/zones/forecast/HIZ046,https://api.weather.gov/zones/fire/HIZ330
001HI,Kula Ag,20.7579,-156.32,964.0824,Pacific/Honolulu,https://api.weather.gov/stations/001HI,https://api.weather.gov/zones/forecast/HIZ049,https://api.weather.gov/zones/fire/HIZ333
001ID,E2T13,45.02195,-113.68215,1458.7728,America/Boise,https://api.weather.gov/stations/001ID,https://api.weather.gov/zones/forecast/IDZ010,https://api.weather.gov/zones/fire/IDZ476
001MD,Clarksville 4 NNE,39.26249,-76.9258,110.0328,America/New_York,https://api.weather.gov/stations/001MD,https://api.weather.gov/zones/forecast/MDZ506,https://api.weather.gov/zones/fire/MDZ506
001NH,Lincoln Exit 33,44.06239,-71.68782,273.1008,America/New_York,https://api.weather.gov/stations/001NH,https://api.weather.gov/zones/forecast/NHZ003,https://api.weather.gov/zones/fire/NHZ022
